time,preempt_type,preempt_priority,victim_type,victim_priority,want_blocks,get_blocks
2051,architect,5,mcp_search,6,1,3336
2055,mcp_conditional_execution,4,mcp_conditional_execution,4,1774,374
2056,mcp_file_write,11,mcp_file_write,11,2036,641
2062,mcp_search,6,mcp_conditional_execution,4,1,2336
2064,mcp_file_write,11,mcp_file_write,11,2037,2677
2075,mcp_conditional_execution,4,mcp_conditional_execution,4,1575,213
2077,architect,5,architect,5,1,2416
2080,mcp_conditional_execution,4,mcp_file_write,8,1,3679
2083,mcp_conditional_execution,4,mcp_conditional_execution,4,1868,345
2083,mcp_search,6,mcp_search,6,2035,399
2090,architect,5,architect,5,1,2541
2092,mcp_conditional_execution,7,mcp_conditional_execution,7,1158,2311
2098,architect,5,architect,5,1,2738
2102,architect,5,mcp_search,6,1,3565
2110,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2036,2452
2116,mcp_external_tool_eval,13,mcp_external_tool_eval,13,1759,6524
2116,reviewer,12,reviewer,12,2038,5484
2121,mcp_file_write,8,reviewer,12,1,8088
2121,architect,5,reviewer,12,1,8089
2121,mcp_file_query,10,reviewer,12,1,8096
2125,programmer,9,programmer,9,2037,550
2128,mcp_conditional_execution,7,architect,5,1,2143
2134,programmer,9,programmer,9,1666,2567
2139,reviewer,12,architect,5,1,2337
2141,mcp_conditional_execution,4,mcp_conditional_execution,4,1346,1038
2141,mcp_search,6,mcp_search,6,2036,917
2142,mcp_file_write,14,mcp_file_write,14,2037,452
2144,programmer,9,mcp_conditional_execution,7,1,3976
2151,mcp_file_write,14,mcp_file_write,14,2038,6554
2156,programmer,9,mcp_conditional_execution,4,1,1798
2160,programmer,9,programmer,9,1,4128
2160,mcp_file_write,14,programmer,9,1,4132
2160,mcp_file_write,14,programmer,9,1,4133
2161,mcp_conditional_execution,4,programmer,9,1,4154
2161,programmer,9,programmer,9,1,4159
2161,programmer,9,programmer,9,1,4160
2166,mcp_search,6,mcp_search,6,822,2244
2171,programmer,9,mcp_conditional_execution,4,1,1961
2171,mcp_conditional_execution,4,programmer,9,1,4325
2172,mcp_file_write,14,programmer,9,1,4375
2173,programmer,9,programmer,9,1,4384
2173,programmer,9,programmer,9,1,4400
2176,mcp_file_write,8,mcp_file_write,8,2037,1399
2177,mcp_search,6,mcp_search,6,1527,1888
2177,mcp_conditional_execution,4,mcp_conditional_execution,4,1379,703
2182,programmer,9,mcp_search,6,1,3563
2185,architect,5,architect,5,1,2048
2191,mcp_search,6,mcp_file_write,11,1,5571
2193,architect,5,mcp_file_write,11,1,5649
2195,mcp_search,6,mcp_file_write,11,1,5732
2198,programmer,9,mcp_file_write,11,1,5604
2198,mcp_conditional_execution,4,mcp_file_write,11,1,5710
2199,mcp_external_test,15,mcp_external_test,15,2036,1163
2202,architect,5,mcp_search,6,1,3675
2209,mcp_file_write,11,mcp_search,6,1,3834
2210,mcp_external_test,15,mcp_external_test,15,2039,5219
2213,mcp_conditional_execution,4,mcp_conditional_execution,4,428,1336
2220,mcp_file_write,11,reviewer,12,1,8539
2220,mcp_file_write,11,reviewer,12,1,8543
2221,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2096
2223,mcp_conditional_execution,7,mcp_conditional_execution,7,1127,2327
2225,mcp_conditional_execution,4,mcp_conditional_execution,7,1,3480
2228,reviser,13,reviser,13,1758,6512
2229,architect,5,architect,5,1391,477
2231,reviewer,12,reviser,13,1,8344
2231,reviewer,12,reviser,13,1,8354
2231,mcp_conditional_execution,4,reviser,13,1,8359
2232,mcp_conditional_execution,7,mcp_conditional_execution,7,884,2954
2237,mcp_search,6,mcp_search,6,1715,1386
2251,mcp_user_confirm,14,mcp_user_confirm,14,2038,3634
2256,mcp_user_confirm,14,mcp_user_confirm,14,2039,5671
2263,mcp_file_write,8,mcp_file_write,8,1564,2375
2266,mcp_conditional_execution,7,mcp_conditional_execution,7,2038,756
2270,mcp_search,6,mcp_file_write,8,1,4066
2271,mcp_search,6,mcp_search,6,1792,1554
2275,mcp_conditional_execution,7,mcp_conditional_execution,7,1,3664
2284,mcp_file_query,10,mcp_file_query,10,2038,597
2285,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2038,2201
2291,mcp_file_query,10,mcp_file_query,10,1,5152
2292,architect,5,mcp_file_query,10,1,5170
2292,architect,5,mcp_file_query,10,1,5181
2293,mcp_conditional_execution,7,mcp_file_query,10,1,5182
2294,mcp_file_write,8,mcp_file_write,8,2038,1566
2297,mcp_file_write,8,mcp_file_write,8,2038,538
2299,architect,5,architect,5,1,2352
2302,mcp_file_query,10,mcp_file_write,8,1,3967
2313,mcp_conditional_execution,7,mcp_conditional_execution,7,1677,2312
2317,mcp_search,6,mcp_search,6,2039,595
2319,architect,5,architect,5,1387,1034
2326,mcp_search,6,mcp_conditional_execution,7,1,3732
2330,architect,5,architect,5,1,2324
2331,mcp_file_write,11,mcp_file_write,11,2034,677
2333,programmer,9,architect,5,1,2001
2337,programmer,9,architect,5,1,2509
2341,programmer,9,programmer,9,1,4288
2342,mcp_search,6,architect,5,1,2018
2342,programmer,9,architect,5,1,2539
2342,programmer,9,programmer,9,1,4318
2342,programmer,9,programmer,9,1,4319
2342,mcp_conditional_execution,7,architect,5,1,2033
2343,programmer,9,architect,5,1,2555
2343,mcp_file_write,8,programmer,9,1,4341
2343,mcp_conditional_execution,7,programmer,9,1,4344
2344,architect,5,programmer,9,1,4383
2345,mcp_file_write,11,mcp_file_write,11,470,4702
2352,programmer,9,programmer,9,1,4280
2353,programmer,9,mcp_search,6,1,3132
2358,mcp_file_write,11,programmer,9,1,4460
2359,programmer,9,mcp_search,6,1,3150
2360,programmer,9,programmer,9,1,4498
2360,architect,5,programmer,9,1,4520
2360,programmer,9,mcp_search,6,1,3152
2360,architect,5,programmer,9,1,4502
2360,programmer,9,programmer,9,1,4525
2361,mcp_file_write,8,mcp_file_write,8,1511,2333
2362,mcp_conditional_execution,7,mcp_conditional_execution,7,2034,1517
2366,programmer,9,architect,5,1,2300
2371,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2036,2440
2382,architect,5,architect,5,1,2688
2384,mcp_conditional_execution,7,mcp_conditional_execution,7,2039,590
2385,mcp_conditional_execution,7,mcp_conditional_execution,7,1004,2616
2387,architect,5,architect,5,1532,485
2391,mcp_conditional_execution,7,mcp_search,6,1,3189
2393,reviser,13,reviser,13,2040,899
2405,mcp_conditional_execution,7,mcp_conditional_execution,7,1623,2329
2422,mcp_external_test,15,mcp_external_test,15,2038,4540
2429,mcp_conditional_execution,7,mcp_file_write,8,1,4071
2432,mcp_file_write,11,mcp_file_write,11,2039,2416
2440,mcp_file_query,10,mcp_file_write,8,1,4355
2445,mcp_file_write,14,mcp_file_write,14,2037,3397
2452,mcp_file_write,14,mcp_file_write,14,2038,5430
2459,mcp_file_write,11,reviewer,12,1,8011
2459,mcp_file_write,8,reviewer,12,1,8021
2469,mcp_file_write,14,reviewer,12,1,8191
2469,mcp_file_write,11,reviewer,12,1,8192
2469,mcp_file_write,11,reviewer,12,1,8203
2470,mcp_file_write,8,mcp_file_write,8,1348,2346
2480,mcp_file_query,10,mcp_file_query,10,1553,3387
2489,mcp_user_confirm,14,mcp_user_confirm,14,2037,4344
2492,mcp_file_query,10,mcp_user_confirm,14,1,8912
2497,mcp_conditional_execution,7,mcp_conditional_execution,7,491,3224
2508,architect,5,architect,5,1,2624
2514,reviser,13,reviser,13,2039,1850
2522,architect,5,architect,5,2040,360
2524,mcp_conditional_execution,7,mcp_file_write,8,1,4042
